Timestamp,Game Title,GP2040-CE PS5 Compatibility,Notes,"Name, Discord Username, or Gamer Tag"
8/23/2023 23:39:07,Breakers Collection,❌,Does not support Specialty Devices at all,bss
9/9/2023 20:55:39,DNF Duel,✅,,bss
9/9/2023 20:50:33,Doki Doki Literature Club Plus!,❌,,bss
8/23/2023 23:39:43,Gran Turismo 7,✅,,jfedor
8/23/2023 23:40:38,Guilty Gear Strive,✅,,
9/9/2023 20:47:24,Hitman 3,✅,,bss
9/9/2023 20:49:32,Judgment,✅,,bss
10/1/2023 11:43:51,King of Fighters XV,✅,,CientifiKOF
9/22/2023 18:02:53,Mortal Kombat 11 Ultimate,✅,,lucaspicoli
11/18/2023 9:18:43,Mortatl Kombat 1,✅,,miguelitosanches
9/9/2023 20:53:12,Puyo Puyo Tetris 2,❌,,bss
9/9/2023 21:02:52,Raiden III x MIKADO MANIAX,✅,,bss
9/9/2023 20:49:11,Record of Lodoss War -Deedlit in Wonder Labyrinth,❌,,bss
8/24/2023 14:47:18,Street Fighter 6,✅,,pfanne
9/9/2023 21:09:50,Teenage Mutant Ninja Turtles: The Cowabunga Collection,✅,,bss
2/5/2024 6:23:35,Tekken 8,✅,,Iz-GOod
2/10/2024 20:32:05,UnderNight INbirth II,✅,,PNW_Jxsh
9/9/2023 20:57:21,Xenon Valkyrie+,❌,,bss